Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,Var1,Var2,Var3
5-Aug,WSH,vs NYM,4,0,2,3,1,0,0,1,0,0,2,0,0,HOME,NIGHT,AUGUST
7-Aug,WSH,vs BAL,4,0,0,0,0,0,0,0,0,0,0,0,0,HOME,NIGHT,AUGUST
8-Aug,WSH,vs BAL,3,1,2,5,0,0,1,1,1,0,1,0,0,HOME,NIGHT,AUGUST
9-Aug,WSH,vs BAL,3,0,1,2,1,0,0,0,1,0,0,0,0,HOME,NIGHT,AUGUST
10-Aug,WSH,@ NYM,4,3,3,7,1,0,1,3,0,0,0,0,0,AWAY,DAY,AUGUST
11-Aug,WSH,@ NYM,4,0,0,0,0,0,0,0,0,0,0,0,0,AWAY,NIGHT,AUGUST
12-Aug,WSH,@ NYM,4,2,3,9,0,0,2,4,0,0,0,0,0,AWAY,DAY,AUGUST
13-Aug,WSH,@ NYM,3,1,1,4,0,0,1,1,0,0,1,0,0,AWAY,NIGHT,AUGUST
14-Aug,WSH,@ BAL,5,2,2,2,0,0,0,2,0,0,0,1,0,AWAY,DAY,AUGUST
15-Aug,WSH,@ BAL,3,1,1,4,0,0,1,2,1,0,0,0,0,AWAY,NIGHT,AUGUST
16-Aug,WSH,@ BAL,3,3,2,2,0,0,0,0,2,0,1,0,0,AWAY,DAY,AUGUST
17-Aug,WSH,@ ATL,4,1,1,4,0,0,1,1,1,0,0,0,1,AWAY,NIGHT,AUGUST
18-Aug,WSH,@ ATL,4,1,2,3,1,0,0,1,1,1,0,0,0,AWAY,NIGHT,AUGUST
21-Aug,WSH,vs MIA,3,0,0,0,0,0,0,0,1,0,2,0,0,HOME,NIGHT,AUGUST
22-Aug,WSH,vs MIA,3,0,0,0,0,0,0,0,0,0,2,0,0,HOME,NIGHT,AUGUST
22-Aug,WSH,@ MIA,3,0,1,1,0,0,0,0,1,0,0,0,0,AWAY,NIGHT,AUGUST
23-Aug,WSH,vs MIA,3,0,1,1,0,0,0,0,1,0,1,0,0,HOME,NIGHT,AUGUST
24-Aug,WSH,vs MIA,5,1,4,6,2,0,0,1,0,0,0,0,0,HOME,NIGHT,AUGUST
25-Aug,WSH,vs PHI,3,0,0,0,0,0,0,0,1,0,0,0,0,HOME,NIGHT,AUGUST
26-Aug,WSH,vs PHI,3,1,1,4,0,0,1,1,1,0,0,0,0,HOME,NIGHT,AUGUST
28-Aug,WSH,@ BOS,5,1,1,4,0,0,1,2,0,0,0,0,0,AWAY,NIGHT,AUGUST
29-Aug,WSH,@ BOS,5,1,1,1,0,0,0,0,0,0,2,0,0,AWAY,NIGHT,AUGUST
30-Aug,WSH,@ BOS,5,0,2,2,0,0,0,1,0,0,0,0,0,AWAY,NIGHT,AUGUST
31-Aug,WSH,@ PHI,4,2,2,8,0,0,2,4,1,0,1,0,0,AWAY,DAY,AUGUST
1-Sep,WSH,@ PHI,3,0,0,0,0,0,0,0,1,0,1,0,0,AWAY,NIGHT,SEPTEMBER
2-Sep,WSH,@ PHI,3,0,0,0,0,0,0,0,1,1,2,0,0,AWAY,NIGHT,SEPTEMBER
3-Sep,WSH,@ PHI,3,0,2,3,1,0,0,1,2,1,0,0,0,AWAY,NIGHT,SEPTEMBER
8-Sep,WSH,vs TB,2,1,1,1,0,0,0,1,2,2,0,0,0,HOME,NIGHT,SEPTEMBER
10-Sep,WSH,vs ATL,2,2,1,2,1,0,0,1,3,1,0,1,0,HOME,DAY,SEPTEMBER
11-Sep,WSH,vs ATL,3,2,2,3,1,0,0,3,3,2,1,1,0,HOME,DAY,SEPTEMBER
12-Sep,WSH,vs ATL,3,0,0,0,0,0,0,0,1,0,1,0,0,HOME,NIGHT,SEPTEMBER
13-Sep,WSH,vs ATL,4,1,1,2,1,0,0,0,1,1,2,0,0,HOME,NIGHT,SEPTEMBER
15-Sep,WSH,@ TB,4,1,1,2,1,0,0,0,0,0,1,0,0,AWAY,NIGHT,SEPTEMBER
16-Sep,WSH,@ TB,3,1,0,0,0,0,0,0,1,0,1,0,0,AWAY,NIGHT,SEPTEMBER
18-Sep,WSH,@ MIA,3,0,1,1,0,0,0,0,1,1,0,0,0,AWAY,NIGHT,SEPTEMBER
18-Sep,WSH,@ MIA,3,1,2,2,0,0,0,1,0,0,0,0,0,AWAY,NIGHT,SEPTEMBER
19-Sep,WSH,@ MIA,4,0,0,0,0,0,0,0,0,0,2,0,0,AWAY,NIGHT,SEPTEMBER
20-Sep,WSH,@ MIA,3,0,1,1,0,0,0,0,1,1,0,0,1,AWAY,NIGHT,SEPTEMBER
20-Sep,WSH,@ MIA,3,3,3,4,1,0,0,0,1,0,0,0,0,AWAY,DAY,SEPTEMBER
21-Sep,WSH,vs PHI,2,1,0,0,0,0,0,0,2,0,0,0,0,HOME,NIGHT,SEPTEMBER
22-Sep,WSH,vs PHI,1,2,0,0,0,0,0,0,2,1,0,1,0,HOME,DAY,SEPTEMBER
22-Sep,WSH,vs PHI,3,1,1,4,0,0,1,3,1,0,2,1,0,HOME,NIGHT,SEPTEMBER
23-Sep,WSH,vs PHI,3,1,2,5,0,0,1,2,1,0,1,0,0,HOME,NIGHT,SEPTEMBER
24-Sep,WSH,vs NYM,3,0,1,2,1,0,0,0,1,0,0,0,0,HOME,NIGHT,SEPTEMBER
26-Sep,WSH,vs NYM,2,0,0,0,0,0,0,0,1,0,1,1,0,HOME,NIGHT,SEPTEMBER
